,team,spread,date,source,abrv
0,Atlanta,5.5,2006-11-01,238,ATL
1,Philadelphia,-5.5,2006-11-01,238,PHI
2,Indiana,-1.0,2006-11-01,238,IND
3,Charlotte,1.0,2006-11-01,238,CHA
4,Chicago,-1.5,2006-11-01,238,CHI
5,Orlando,1.5,2006-11-01,238,ORL
6,New Orleans,3.0,2006-11-01,238,NOP
7,Boston,-3.0,2006-11-01,238,BOS
8,Toronto,7.0,2006-11-01,238,TOR
9,Brooklyn,-7.0,2006-11-01,238,BKN
10,Sacramento,5.0,2006-11-01,238,SAC
11,Minnesota,-5.0,2006-11-01,238,MIN
12,Milwaukee,6.5,2006-11-01,238,MIL
13,Detroit,-6.5,2006-11-01,238,DET
14,Washington,6.0,2006-11-01,238,WAS
15,Cleveland,-6.0,2006-11-01,238,CLE
16,New York,5.0,2006-11-01,238,NYK
17,Memphis,-5.0,2006-11-01,238,MEM
18,Houston,-1.5,2006-11-01,238,HOU
19,Utah,1.5,2006-11-01,238,UTA
20,L.A. Clippers,4.5,2006-11-01,238,LAC
21,Phoenix,-4.5,2006-11-01,238,PHX
22,L.A. Lakers,7.0,2006-11-01,238,LAL
23,Golden State,-7.0,2006-11-01,238,GSW
0,San Antonio,2.5,2006-11-02,238,SAS
1,Dallas,-2.5,2006-11-02,238,DAL
2,Denver,4.0,2006-11-02,238,DEN
3,L.A. Clippers,-4.0,2006-11-02,238,LAC
0,Chicago,4.5,2006-10-31,238,CHI
1,Miami,-4.5,2006-10-31,238,MIA
2,Phoenix,-8.0,2006-10-31,238,PHX
3,L.A. Lakers,8.0,2006-10-31,238,LAL
0,Washington,3.5,2006-11-06,238,WAS
1,Orlando,-3.5,2006-11-06,238,ORL
2,San Antonio,-6.5,2006-11-06,238,SAS
3,New York,6.5,2006-11-06,238,NYK
4,Milwaukee,6.5,2006-11-06,238,MIL
5,Chicago,-6.5,2006-11-06,238,CHI
6,Golden State,9.5,2006-11-06,238,GSW
7,Dallas,-9.5,2006-11-06,238,DAL
8,Detroit,4.5,2006-11-06,238,DET
9,Utah,-4.5,2006-11-06,238,UTA
10,Minnesota,5.0,2006-11-06,238,MIN
11,Sacramento,-5.0,2006-11-06,238,SAC
12,Portland,11.0,2006-11-06,238,POR
13,L.A. Clippers,-11.0,2006-11-06,238,LAC
0,Philadelphia,3.0,2006-11-08,238,PHI
1,Toronto,-3.0,2006-11-08,238,TOR
2,Indiana,5.0,2006-11-08,238,IND
3,Washington,-5.0,2006-11-08,238,WAS
4,Charlotte,4.5,2006-11-08,238,CHA
5,Boston,-4.5,2006-11-08,238,BOS
6,Utah,4.0,2006-11-08,238,UTA
7,Brooklyn,-4.0,2006-11-08,238,BKN
8,Houston,2.5,2006-11-08,238,HOU
9,Milwaukee,-2.5,2006-11-08,238,MIL
10,Phoenix,5.5,2006-11-08,238,PHX
11,San Antonio,-5.5,2006-11-08,238,SAS
12,New York,10.5,2006-11-08,238,NYK
13,Denver,-10.5,2006-11-08,238,DEN
14,L.A. Lakers,-4.5,2006-11-08,238,LAL
15,Portland,4.5,2006-11-08,238,POR
16,Dallas,2.5,2006-11-08,238,DAL
17,L.A. Clippers,-2.5,2006-11-08,238,LAC
18,Detroit,1.5,2006-11-08,238,DET
19,Sacramento,-1.5,2006-11-08,238,SAC
0,Milwaukee,-1.0,2006-11-03,238,MIL
1,Toronto,1.0,2006-11-03,238,TOR
2,Philadelphia,5.0,2006-11-03,238,PHI
3,Orlando,-5.0,2006-11-03,238,ORL
4,New Orleans,4.0,2006-11-03,238,NOP
5,Indiana,-4.0,2006-11-03,238,IND
6,Detroit,-1.5,2006-11-03,238,DET
7,Boston,1.5,2006-11-03,238,BOS
8,New York,2.5,2006-11-03,238,NYK
9,Atlanta,-2.5,2006-11-03,238,ATL
10,Brooklyn,4.5,2006-11-03,238,BKN
11,Miami,-4.5,2006-11-03,238,MIA
12,Charlotte,5.0,2006-11-03,238,CHA
13,Memphis,-5.0,2006-11-03,238,MEM
14,Cleveland,5.5,2006-11-03,238,CLE
15,San Antonio,-5.5,2006-11-03,238,SAS
16,Sacramento,5.5,2006-11-03,238,SAC
17,Chicago,-5.5,2006-11-03,238,CHI
18,Minnesota,5.0,2006-11-03,238,MIN
19,Denver,-5.0,2006-11-03,238,DEN
20,Utah,7.5,2006-11-03,238,UTA
21,Phoenix,-7.5,2006-11-03,238,PHX
22,Portland,9.5,2006-11-03,238,POR
23,Golden State,-9.5,2006-11-03,238,GSW
0,Atlanta,10.5,2006-11-07,238,ATL
1,Cleveland,-10.5,2006-11-07,238,CLE
2,Philadelphia,4.5,2006-11-07,238,PHI
3,Indiana,-4.5,2006-11-07,238,IND
4,Houston,-4.5,2006-11-07,238,HOU
5,Memphis,4.5,2006-11-07,238,MEM
6,Golden State,7.5,2006-11-07,238,GSW
7,New Orleans,-7.5,2006-11-07,238,NOP
8,Minnesota,7.5,2006-11-07,238,MIN
9,L.A. Lakers,-7.5,2006-11-07,238,LAL
0,San Antonio,-6.5,2006-11-05,238,SAS
1,Toronto,6.5,2006-11-05,238,TOR
2,Miami,-3.0,2006-11-05,238,MIA
3,Philadelphia,3.0,2006-11-05,238,PHI
4,Orlando,-3.5,2006-11-05,238,ORL
5,Atlanta,3.5,2006-11-05,238,ATL
6,Houston,1.5,2006-11-05,238,HOU
7,New Orleans,-1.5,2006-11-05,238,NOP
0,Chicago,4.0,2006-11-09,238,CHI
1,Cleveland,-4.0,2006-11-09,238,CLE
2,Dallas,5.0,2006-11-09,238,DAL
3,Phoenix,-5.0,2006-11-09,238,PHX
4,New Orleans,1.5,2006-11-09,238,NOP
5,Golden State,-1.5,2006-11-09,238,GSW
0,Boston,7.0,2006-11-04,238,BOS
1,Washington,-7.0,2006-11-04,238,WAS
2,Cleveland,-4.0,2006-11-04,238,CLE
3,Charlotte,4.0,2006-11-04,238,CHA
4,Indiana,-3.0,2006-11-04,238,IND
5,New York,3.0,2006-11-04,238,NYK
6,Memphis,8.0,2006-11-04,238,MEM
7,Detroit,-8.0,2006-11-04,238,DET
8,Sacramento,3.0,2006-11-04,238,SAC
9,Milwaukee,-3.0,2006-11-04,238,MIL
10,Dallas,-2.0,2006-11-04,238,DAL
11,Houston,2.0,2006-11-04,238,HOU
12,Golden State,6.0,2006-11-04,238,GSW
13,Utah,-6.0,2006-11-04,238,UTA
14,Minnesota,-3.5,2006-11-04,238,MIN
15,Portland,3.5,2006-11-04,238,POR
16,Phoenix,4.0,2006-11-04,238,PHX
17,L.A. Clippers,-4.0,2006-11-04,238,LAC
0,Orlando,5.0,2006-11-10,238,ORL
1,Indiana,-5.0,2006-11-10,238,IND
2,Atlanta,4.0,2006-11-10,238,ATL
3,Toronto,-4.0,2006-11-10,238,TOR
4,Denver,2.5,2006-11-10,238,DEN
5,Philadelphia,-2.5,2006-11-10,238,PHI
6,Milwaukee,6.0,2006-11-10,238,MIL
7,Washington,-6.0,2006-11-10,238,WAS
8,Utah,-3.5,2006-11-10,238,UTA
9,Boston,3.5,2006-11-10,238,BOS
10,Miami,4.0,2006-11-10,238,MIA
11,Brooklyn,-4.0,2006-11-10,238,BKN
