,team,total,date,source,abrv
0,San Antonio,182.0,2006-11-02,238,SAS
1,Dallas,182.0,2006-11-02,238,DAL
2,Denver,209.5,2006-11-02,238,DEN
3,L.A. Clippers,209.5,2006-11-02,238,LAC
0,Chicago,187.0,2006-10-31,238,CHI
1,Miami,187.0,2006-10-31,238,MIA
2,Phoenix,206.5,2006-10-31,238,PHX
3,L.A. Lakers,206.5,2006-10-31,238,LAL
0,Chicago,183.0,2006-11-09,238,CHI
1,Cleveland,183.0,2006-11-09,238,CLE
2,Dallas,209.0,2006-11-09,238,DAL
3,Phoenix,209.0,2006-11-09,238,PHX
4,New Orleans,196.5,2006-11-09,238,NOP
5,Golden State,196.5,2006-11-09,238,GSW
0,Washington,203.5,2006-11-06,238,WAS
1,Orlando,203.5,2006-11-06,238,ORL
2,San Antonio,194.5,2006-11-06,238,SAS
3,New York,194.5,2006-11-06,238,NYK
4,Milwaukee,190.5,2006-11-06,238,MIL
5,Chicago,190.5,2006-11-06,238,CHI
6,Golden State,200.0,2006-11-06,238,GSW
7,Dallas,200.0,2006-11-06,238,DAL
8,Detroit,190.5,2006-11-06,238,DET
9,Utah,190.5,2006-11-06,238,UTA
10,Minnesota,187.5,2006-11-06,238,MIN
11,Sacramento,187.5,2006-11-06,238,SAC
12,Portland,193.5,2006-11-06,238,POR
13,L.A. Clippers,193.5,2006-11-06,238,LAC
0,Boston,200.0,2006-11-04,238,BOS
1,Washington,200.0,2006-11-04,238,WAS
2,Cleveland,193.0,2006-11-04,238,CLE
3,Charlotte,193.0,2006-11-04,238,CHA
4,Indiana,203.0,2006-11-04,238,IND
5,New York,203.0,2006-11-04,238,NYK
6,Memphis,182.5,2006-11-04,238,MEM
7,Detroit,182.5,2006-11-04,238,DET
8,Sacramento,193.0,2006-11-04,238,SAC
9,Milwaukee,193.0,2006-11-04,238,MIL
10,Dallas,184.0,2006-11-04,238,DAL
11,Houston,184.0,2006-11-04,238,HOU
12,Golden State,207.0,2006-11-04,238,GSW
13,Utah,207.0,2006-11-04,238,UTA
14,Minnesota,189.5,2006-11-04,238,MIN
15,Portland,189.5,2006-11-04,238,POR
16,Phoenix,212.0,2006-11-04,238,PHX
17,L.A. Clippers,212.0,2006-11-04,238,LAC
0,Atlanta,187.0,2006-11-07,238,ATL
1,Cleveland,187.0,2006-11-07,238,CLE
2,Philadelphia,198.0,2006-11-07,238,PHI
3,Indiana,198.0,2006-11-07,238,IND
4,Houston,178.0,2006-11-07,238,HOU
5,Memphis,178.0,2006-11-07,238,MEM
6,Golden State,198.5,2006-11-07,238,GSW
7,New Orleans,198.5,2006-11-07,238,NOP
8,Minnesota,198.0,2006-11-07,238,MIN
9,L.A. Lakers,198.0,2006-11-07,238,LAL
0,Atlanta,199.0,2006-11-01,238,ATL
1,Philadelphia,199.0,2006-11-01,238,PHI
2,Indiana,193.5,2006-11-01,238,IND
3,Charlotte,193.5,2006-11-01,238,CHA
